label,Filter,Ca (ug/L),Mg (ug/L),Sr (ug/L),Na (ug/L),Ca sw corr,Ca sw + V corr,PIC mmol/m3,PIC ug/l
MAX,0.8,48.28,3562.875,0.4845,501.2625,29.124063630460995,9.708021210153664,0.24270053025384158,2.9124063630460997
MAY,0.8000000000000002,40.83,77.63,0.5179999999999999,512.2366666666667,21.25468169310206,7.0848938977006855,0.1771223474425171,2.125468169310206
MBX,0.4000000000000001,32.843333333333334,506.20000000000005,0.3586666666666667,424.1066666666666,16.635936369539007,5.545312123179667,0.13863280307949166,1.6635936369539006
MBY,0.4000000000000001,26.49,54.586666666666666,0.3133333333333333,321.01666666666665,14.222226447763042,4.740742149254348,0.11851855373135867,1.422222644776304
